ocean_<1H OCEAN,ocean_INLAND,ocean_ISLAND,ocean_NEAR BAY,ocean_NEAR OCEAN,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
0,0,0,1,0,-122.23,37.88,41,880,129.0,322,126,8.3252,452600
0,0,0,1,0,-122.22,37.86,21,7099,1106.0,2401,1138,8.3014,358500
0,0,0,1,0,-122.24,37.85,52,1467,190.0,496,177,7.2574,352100
0,0,0,1,0,-122.25,37.85,52,1274,235.0,558,219,5.6431,341300
0,0,0,1,0,-122.25,37.85,52,1627,280.0,565,259,3.8462,342200
0,0,0,1,0,-122.25,37.85,52,919,213.0,413,193,4.0368,269700
0,0,0,1,0,-122.25,37.84,52,2535,489.0,1094,514,3.6591,299200
0,0,0,1,0,-122.25,37.84,52,3104,687.0,1157,647,3.12,241400
0,0,0,1,0,-122.26,37.84,42,2555,665.0,1206,595,2.0804,226700
0,0,0,1,0,-122.25,37.84,52,3549,707.0,1551,714,3.6912,261100
0,0,0,1,0,-122.26,37.85,52,2202,434.0,910,402,3.2031,281500
0,0,0,1,0,-122.26,37.85,52,3503,752.0,1504,734,3.2705,241800
0,0,0,1,0,-122.26,37.85,52,2491,474.0,1098,468,3.075,213500
0,0,0,1,0,-122.26,37.84,52,696,191.0,345,174,2.6736,191300
0,0,0,1,0,-122.26,37.85,52,2643,626.0,1212,620,1.9167,159200
0,0,0,1,0,-122.26,37.85,50,1120,283.0,697,264,2.125,140000
0,0,0,1,0,-122.27,37.85,52,1966,347.0,793,331,2.775,152500
0,0,0,1,0,-122.27,37.85,52,1228,293.0,648,303,2.1202,155500
0,0,0,1,0,-122.26,37.84,50,2239,455.0,990,419,1.9911,158700
0,0,0,1,0,-122.27,37.84,52,1503,298.0,690,275,2.6033,162900
0,0,0,1,0,-122.27,37.85,40,751,184.0,409,166,1.3578,147500
0,0,0,1,0,-122.27,37.85,42,1639,367.0,929,366,1.7135,159800
0,0,0,1,0,-122.27,37.84,52,2436,541.0,1015,478,1.725,113900
0,0,0,1,0,-122.27,37.84,52,1688,337.0,853,325,2.1806,99700
0,0,0,1,0,-122.27,37.84,52,2224,437.0,1006,422,2.6,132600
0,0,0,1,0,-122.28,37.85,41,535,123.0,317,119,2.4038,107500
0,0,0,1,0,-122.28,37.85,49,1130,244.0,607,239,2.4597,93800
0,0,0,1,0,-122.28,37.85,52,1898,421.0,1102,397,1.808,105500
0,0,0,1,0,-122.28,37.84,50,2082,492.0,1131,473,1.6424,108900
0,0,0,1,0,-122.28,37.84,52,729,160.0,395,155,1.6875,132000
0,0,0,1,0,-122.28,37.84,49,1916,447.0,863,378,1.9274,122300
0,0,0,1,0,-122.28,37.84,52,2153,481.0,1168,441,1.9615,115200
0,0,0,1,0,-122.27,37.84,48,1922,409.0,1026,335,1.7969,110400
0,0,0,1,0,-122.27,37.83,49,1655,366.0,754,329,1.375,104900
0,0,0,1,0,-122.27,37.83,51,2665,574.0,1258,536,2.7303,109700
0,0,0,1,0,-122.27,37.83,49,1215,282.0,570,264,1.4861,97200
0,0,0,1,0,-122.27,37.83,48,1798,432.0,987,374,1.0972,104500
0,0,0,1,0,-122.28,37.83,52,1511,390.0,901,403,1.4103,103900
0,0,0,1,0,-122.26,37.83,52,1470,330.0,689,309,3.48,191400
0,0,0,1,0,-122.26,37.83,52,2432,715.0,1377,696,2.5898,176000
0,0,0,1,0,-122.26,37.83,52,1665,419.0,946,395,2.0978,155400
0,0,0,1,0,-122.26,37.83,51,936,311.0,517,249,1.2852,150000
0,0,0,1,0,-122.26,37.84,49,713,202.0,462,189,1.025,118800
0,0,0,1,0,-122.26,37.84,52,950,202.0,467,198,3.9643,188800
0,0,0,1,0,-122.26,37.83,52,1443,311.0,660,292,3.0125,184400
0,0,0,1,0,-122.26,37.83,52,1656,420.0,718,382,2.6768,182300
0,0,0,1,0,-122.26,37.83,50,1125,322.0,616,304,2.026,142500
0,0,0,1,0,-122.27,37.82,43,1007,312.0,558,253,1.7348,137500
0,0,0,1,0,-122.26,37.82,40,624,195.0,423,160,0.9506,187500
0,0,0,1,0,-122.27,37.82,40,946,375.0,700,352,1.775,112500
0,0,0,1,0,-122.27,37.82,21,896,453.0,735,438,0.9218,171900
0,0,0,1,0,-122.27,37.82,43,1868,456.0,1061,407,1.5045,93800
0,0,0,1,0,-122.27,37.82,41,3221,853.0,1959,720,1.1108,97500
0,0,0,1,0,-122.27,37.82,52,1630,456.0,1162,400,1.2475,104200
0,0,0,1,0,-122.28,37.82,52,1170,235.0,701,233,1.6098,87500
0,0,0,1,0,-122.28,37.82,52,945,243.0,576,220,1.4113,83100
0,0,0,1,0,-122.28,37.82,52,1238,288.0,622,259,1.5057,87500
0,0,0,1,0,-122.28,37.82,52,1489,335.0,728,244,0.8172,85300
0,0,0,1,0,-122.28,37.82,52,1387,341.0,1074,304,1.2171,80300
0,0,0,1,0,-122.29,37.82,2,158,43.0,94,57,2.5625,60000
0,0,0,1,0,-122.29,37.83,52,1121,211.0,554,187,3.3929,75700
0,0,0,1,0,-122.29,37.82,49,135,29.0,86,23,6.1183,75000
0,0,0,1,0,-122.29,37.81,50,760,190.0,377,122,0.9011,86100
0,0,0,1,0,-122.3,37.81,52,1224,237.0,521,159,1.191,76100
0,0,0,1,0,-122.3,37.81,48,828,182.0,392,133,2.5938,73500
0,0,0,1,0,-122.3,37.81,52,1010,209.0,604,187,1.1667,78400
0,0,0,1,0,-122.3,37.81,48,1455,354.0,788,332,0.8056,84400
0,0,0,1,0,-122.29,37.8,52,1027,244.0,492,147,2.6094,81300
0,0,0,1,0,-122.3,37.81,52,572,109.0,274,82,1.8516,85000
0,0,0,1,0,-122.29,37.81,46,2801,644.0,1823,611,0.9802,129200
0,0,0,1,0,-122.29,37.81,26,768,152.0,392,127,1.7719,82500
0,0,0,1,0,-122.29,37.81,46,935,297.0,582,277,0.7286,95200
0,0,0,1,0,-122.29,37.81,49,844,204.0,560,152,1.75,75000
0,0,0,1,0,-122.29,37.81,46,12,4.0,18,7,0.4999,67500
